id	title	abstract	keywords
6439	VULNERABILITY CHANGE IN COASTAL ZONES OF VIETNAM AND JAPAN	Preparing of adaptation strategy against global warming is one of the important issues. The purpose of paper is to show the typical effect of adaptation and early adaptation for reducing vulnerability in developed country and developing countries. The quantitative results of vulnerability assessments following trial scenarios of adaptations show that effect of early adaptation is strong in developing courtiers in case of good economy growth.	NA
634	Do gender differences lead to unequal access to climate adaptation strategies in an agrarian context? Perceptions from coastal Bangladesh	While people around the world are increasingly facing various climate-related stresses, women with limited resources in low income developing societies are often at a greater risk largely because of their pre-existing constraints on social, economic, political, and cultural resources and opportunities. In this paper, we investigate how gender differences influence farmers' access to various resources that are critical for local climate adaptation in coastal Bangladesh. As one of the most climate-vulnerable regions in not only the country but the world, coastal Bangladesh is experiencing a significant increase in sea level rise, tropical cyclones, storm surges, coastal flooding, coastal erosions as well as unpredictable rainfall patterns. All of these climate related stresses directly contribute to the region's increasing exposure to saltwater intrusion in coastal lands and freshwater sources. While a majority of the previous research has focused on community-based climate adaptation, there has been limited attention on how gender differences shape local farmers' climate adaptation strategies. Using mixed-methods research, this article highlights the ways in which male-headed and female-headed farming households have differential access to locally available adaptation resources along with associated constraints or opportunities for adaptation and disaster risk reduction strategies vary substantially. Our findings suggest female-headed farms are less likely to sell their farmland or migrate away in search of non-farm income due to normative gendered expectations and socio-cultural restrictions. Therefore, female farmers are forced to pursue in-place farming adaptation strategies with limited external resources while relying on informal social networks for weather and climate information.	climate adaptation; coastal bangladesh; gender differences; female-headed farming households; kalapara
656	Measuring local sea-level rise adaptation and adaptive capacity: A national survey in the United States	Sea-level rise (SLR) has increasingly manifested the need for adaptation in the United States (US) coastal areas. Few empirical studies have investigated the extent of local SLR adaptation and adaptive capacity on a national scale. To address this research gap, I conducted a national survey among 231 coastal localities in the US and obtained 86 individual copies of surveys, with a response rate of 37.2\%. I then employed multivariate regression models to examine the relationship between local actions and adaptive capacity while controlling for socioeconomic variations. Based on the survey results, I find that, at this nascent stage, the coastal localities are more actively investing in adaptation planning than actions. Among the adaptation actions, they generally preferred the protection and accommodation strategies to those of the managed retreat. Localities in this sample reported medium to low adaptive capacity, with leadership, funding, staff, and political environment being the weakest capacity elements. The regression results indicate that localities with higher adaptive capacity have been implementing more adaptation than those with limited capacity. This empirical research provides a first glance into local SLR adaptation and sheds light on the plausible pathways to building local adaptive capacity and improving coastal resilience through adaptation.	sea-level rise; adaptation planning; adaptive capacity; urban planning
392105	Impact of warming on sea level	Global warming could raise sea level by approximately a meter over the next century. Such a rise would flood about 7000 square miles in the United States - an area the size of Massachusetts. It would cover coastal wetlands and lowlands, erode beaches, threaten coastal communities, and increase the salinity of estuaries, aquifers, and wetlands. Coastal cities are likely to build expensive bulkheads, levees, and pumping stations for protection, while shorelines in sparsely developed areas would be allowed to retreat naturally. -from Author	barrier island;  beach;  coastal wetland;  global warming;  sea level, beaches--erosion;  floods;  ice--melting;  oceanography--sea level changes;  shore protection, global warming;  inundation;  saltwater intrusion, greenhouse effect
351770	Coastal stabilization practice in France	The expansion of coastal urban fronts, leisure ports and tourism in the course of the twentieth century has been the main driver of large-scale modification of the coastal zone in France. The development pressures generated by mass tourism and the economic boom of the 1960s have had their strongest effects in the Mediterranean, but pressures have also been important on the coast of Normandy and Picardy. In the Mediterranean, where large-scale planned development involving joint state and private capital ventures was implemented, this situation has, in many cases, exacerbated coastal instability, while endangering coastal ecosystems, and the growth of urban fronts has commonly led to a drastic reduction in beach width and to dune degradation. Coastal sediment budgets have also been seriously affected by updrift stabilization of cliffs and beaches, especially in Normandy and Picardy. In France, some of the causes of, and the responses to, shoreline destabilization have been essentially a matter of â€˜hardâ€™ engineering, for both historical and cultural reasons, although the situation has been changing over the past decade. A brief overview of shoreline stabilization procedures and structures highlights the overwhelming predominance of seawalls and groynes. Recent practices have tended to move closer to beach nourishment, which is gaining ground in France. Four case studies briefly highlight the benefits and disbenefits of shoreline stabilization in France. These are: (1) a sandy city-front beach protected by breakwaters on the macrotidal southern North Sea coast downdrift of the large industrial port of Dunkirk, (2) the regularly renourished and heavily groyned gravel barrier of Cayeux in Picardy, the largest coastal gravel barrier in France, (3) a strongly eroding sector of the RhÃ´ne delta shoreline where various combinations of coastal stabilization projects have succeeded each other for over a century and a half, and (4) the regularly renourished gravel beach of Nice, on the French Riviera. These examples show that the emphasis on coastal stabilization at whatever cost that has underpinned coastal management practice needs to be reconsidered, as stabilization will become costlier in the future, as pressures from coastal development increase, as sea level rises and as sediment stocks diminish. Openings in this regard are coming from larger environmental awareness, the recognition of the failure or poor performance of many coastal stabilization projects, and the diversification of the actors involved in coastal management and planning. These developments are progressively generating a new logic of wider concert, on the basis of a more prospective, upfront and long-term approach to coastal management, instead of the logic of a â€˜stabilization-onlyâ€™ and a commonly one-shot immediate response to storm erosion problems that had tended to prevail in the past. Â© Springer Science+Business Media B.V. 2012	NA
303525	Impacts of climate change on agriculture and aquaculture	Climate change is expected to influence several productive sectors, the most significant of which is agriculture. Agriculture comprises an important sector of the global economy that includes crops, livestock, and seafood. Agriculture, aquaculture, and fisheries are closely linked to the climate, with changes in climatic conditions able to drastically affect animal and plant productivity, which in turn has a direct impact on human well-being. Impacts of Climate Change on Agriculture and Aquaculture is a critical scholarly publication that provides an integrated assessment of climate change impacts on agriculture, aquaculture, and fisheries and explores a set of strategies to secure sustainable food security. While highlighting the associations between climate change, food security, and socio-economic development, the book establishes an inventory of good agricultural practices for the adaptation to climate change and presents solutions for making agricultural and food systems more sustainable. Featuring a wide range of topics such as carbon sequestration, ecosystem management, and desertification, this book is ideal for agriculturalists, environmentalists, fisheries, marine biologists, ichthyologists, government officials, academicians, policy makers, scientists, professionals, researchers, and students Â© 2021 by IGI Global. All rights reserved.	NA
14009	The roles of governments and other actors in adaptation to climate change and variability: The examples of agriculture and coastal communities	There is little question now about the reality of climate change and the importance of adaptation of human activities in reducing the negative impacts of climate change and variability (CCV) as well as the reduction of Greenhouse Gas Emissions in mitigating this unprecedented phenomenon. This article focuses on adaptation and the adaptive capacity of actors (decision-takers) of all sorts to adopt appropriate strategies and increase their adaptive capacity to cope with CCV by focusing on two types of human activity-agriculture and agricultural territories and coastal communities, both of which have very important roles to play in human society. Given the recent high profile given to the outcomes of COP21 and particularly the potential transfer of significant funding from developed to developing countries to support their battle against CCV, the emphasis has shifted again to the role of governments in this battle. We argue that governments have important roles to play both in developed and developing countries, but supporting funding of initiatives and for developing pertinent action plans is probably the least of our worries! Funding can be important but alone does not solve the challenges, it is what is accomplished with funding that is all important, and this requires the development of effective and pertinent adaptive capacities on the part of the different actors involved in what becomes a co-construction process. We argue that the roles of governments and other actors (collective as well as individual citizens and the activities that they are involved in) need to be better understood in order for this to happen. This is illustrated by research of different types on agriculture and coastal communities.	adaptive capacity; roles of governments and other actors; holistic planning; strategic development planning; co-construction of plans and initiatives
9742	Climate and oceanic fisheries: recent observations and projections and future needs	Several lines of evidence show that climatic variation and global warming can have a major effect on fisheries production and replenishment. To prevent overfishing and rebuild overfished stocks under changing and uncertain environmental conditions, new research partnerships between fisheries scientists and climate change experts are required. The International Workshop on Climate and Oceanic Fisheries held in Rarotonga, Cook Islands, 3-5 October 2011, brought representatives from these disciplines together to consider the effects of climate variability and change on oceanic fisheries, the tools and strategies required for identifying potential impacts on oceanic fisheries, and the priority adaptations for sustaining future harvests, especially in the Pacific Ocean. Recommendations made by the workshop included (1) development and implementation of sustainable management measures for fisheries; (2) long-term commitment to monitoring necessary to assess stock status and to conduct integrated ecosystem assessments; (3) process oriented research to evaluate the potential of marine species for adaptation to a changing ocean environment; (4) provision of improved national meteorological and hydrological services to fisheries agencies, enterprises and communities; (5) continuing communication of potential impacts and adaptation strategies to stakeholders to reduce the threats to oceanic fisheries and capitalise on opportunities; and (6) continued collaborative efforts between meteorological, oceanographic, biological and fisheries researchers and management agencies to better monitor and understand the impacts of short-term variability and longer-term change on oceanic fisheries.	NA
6019	Accounting for justice in local government responses to sea-level rise: evidence from two local councils in Victoria, Australia	This chapter explains the way justice is being considered by two local governments tasked with the responsibility of facilitating adaptation to sea-level rise. It compares the ways in which the East Gippsland Shire Council and Wellington Shire Council in Victoria have approached adaptation to sea-level rise, how they have engaged their communities on the issue, and the way staff in these two local governments think about the justice dimensions of adaptation.	NA
655	Coastal Area Management Based on Disaster Mitigation: A Case Study in Purworejo Regency, Indonesia	Indonesia is an archipelago blessed with the wealth of coastal resources, but also with the risk of natural hazards including tectonic earthquake and tsunami. This potential risk is high in the Purwodadi Subregency, Purworejo Regency, Indonesia, because of its location in an active subduction zone at the edge of the Indian Ocean. Therefore, this study was conducted in the region located on the southern coast of Java Island. The high probability of disaster in the area needs a proper coastal management strategy and mitigation measures. Hence, this study aims to establish an appropriate policy using the strength-weakness-opportunity-threat (SWOT) analysis. Furthermore, the data obtained from this novel analysis include the population and social vulnerability, geological conditions, landuse allocation, and disaster strategies. Each is carefully assessed and then incorporated into the matrix to obtain the result. In addition, the alternative strategies used are the development of disaster mitigation facilities, infrastructure, and institutional strengthening. (C) IJOG - 2021.	swot analysis; geology; strategy; natural hazard; coast
