"label","sysrev_id","title","include","matches"
"ref_001",95357973,"Coastal Communities and ITQ Management. The Case of Icelandic Fisheries",FALSE,"Coastal Communities and ITQ Management. The Case of Icelandic Fisheries"
"ref_002",95357974,"Participatory Management, Popular Knowledge, and Community Empowerment: The Case of Sea Urchin Harvesting in the Vieux-Fort Area of St. Lucia",FALSE,"Participatory Management, Popular Knowledge, and Community Empowerment: The Case of Sea Urchin Harvesting in the Vieux-Fort Area of St. Lucia"
"ref_003",95357975,"Migration, Remittances, Livelihood Trajectories, and Social Resilience",TRUE,"Migration, Remittances, Livelihood Trajectories, and Social Resilience"
"ref_004",95357976,"Moderating Our Expectations on Livelihoods in ICM: Experiences from Thailand, Nicaragua, and Tanzania",FALSE,"Moderating Our Expectations on Livelihoods in ICM: Experiences from Thailand, Nicaragua, and Tanzania"
"ref_005",95357977,"Climate Change Impacts on the Biophysics and Economics of World Fisheries",FALSE,"Climate Change Impacts on the Biophysics and Economics of World Fisheries"
"ref_006",95357978,"Climate Change and Adaptive Capacity in Fisheries Management: The Case of Norway",TRUE,"Climate Change and Adaptive Capacity in Fisheries Management: The Case of Norway"
"ref_007",95357979,"Economic Development as Community Resilience Enhancement in Minapolis Coastal Settlement",TRUE,"Economic Development as Community Resilience Enhancement in Minapolis Coastal Settlement"
"ref_009",95357981,"CLIMATIC ADAPTATION OF COASTAL COMMUNITIES ON THE SOUTHWEST OF TAIWAN",TRUE,"CLIMATIC ADAPTATION OF COASTAL COMMUNITIES ON THE SOUTHWEST OF TAIWAN"
"ref_010",95357982,"Farmers’ Perceptions of Climate Change, Impacts on Freshwater Aquaculture and Adaptation Strategies in Climatic Change Hotspots: A Case of the Indian Sundarban Delta",TRUE,"Farmers’ Perceptions of Climate Change, Impacts on Freshwater Aquaculture and Adaptation Strategies in Climatic Change Hotspots: A Case of the Indian Sundarban Delta"
"ref_011",95357983,"Sea-Level Rise and the Marshallese Diaspora",FALSE,"Sea-Level Rise and the Marshallese Diaspora"
"ref_012",95357984,"Aligning Fisheries Aid with International Development Targets and Goals",TRUE,"Aligning Fisheries Aid with International Development Targets and Goals"
"ref_013",95357985,"Towards Defining the Blue Economy: Practical Lessons from Pacific Ocean Governance",FALSE,"Towards Defining the Blue Economy: Practical Lessons from Pacific Ocean Governance"
"ref_014",95357986,"How Do Local Communities Adapt to Climate Changes along Heavily Damaged Coasts? A Stakeholder Delphi Study in Ky Anh (Central Vietnam)",TRUE,"How Do Local Communities Adapt to Climate Changes along Heavily Damaged Coasts? A Stakeholder Delphi Study in Ky Anh (Central Vietnam)"
"ref_015",95357987,"Impacts and Responses to Environmental Change in Coastal Livelihoods of South-West Bangladesh",TRUE,"Impacts and Responses to Environmental Change in Coastal Livelihoods of South-West Bangladesh"
"ref_016",95357988,"From Science to Action: Exploring the Potentials of Blue Economy for Enhancing Economic Sustainability in Bangladesh",FALSE,"From Science to Action: Exploring the Potentials of Blue Economy for Enhancing Economic Sustainability in Bangladesh"
"ref_017",95357989,"Sustainable Entrepreneurship Tourism: An Alternative Development Approach for Remote Coastal Communities Where Awareness of Tourism Is Low",FALSE,"Sustainable Entrepreneurship Tourism: An Alternative Development Approach for Remote Coastal Communities Where Awareness of Tourism Is Low"
"ref_018",95357990,"Perceptions of Resilience in Fishery-Dependent Bahamian Communities Following a Category 4 Hurricane",TRUE,"Perceptions of Resilience in Fishery-Dependent Bahamian Communities Following a Category 4 Hurricane"
"ref_019",95357991,"Caribbean Small-Scale Fishers’ Strategies for Extreme Weather Events: Lessons for Adaptive Capacity from the Dominican Republic and Belize",TRUE,"Caribbean Small-Scale Fishers’ Strategies for Extreme Weather Events: Lessons for Adaptive Capacity from the Dominican Republic and Belize"
"ref_020",95357992,"Empowering Small-Scale, Community-Based Fisheries through a Food Systems Framework",TRUE,"Empowering Small-Scale, Community-Based Fisheries through a Food Systems Framework"
"ref_021",95357993,"Fishing, Farming and Factories: Adaptive Development in Coastal Cambodia",TRUE,"Fishing, Farming and Factories: Adaptive Development in Coastal Cambodia"
"ref_022",95357994,"Inherent Resilience, Major Marine Environmental Change and Revitalisation of Coastal Communities in Soma, Fukushima Prefecture, Japan",TRUE,"Inherent Resilience, Major Marine Environmental Change and Revitalisation of Coastal Communities in Soma, Fukushima Prefecture, Japan"
"ref_023",95357995,"A Bright Spot Analysis of Inland Recreational Fisheries in the Face of Climate Change: Learning about Adaptation from Small Successes",FALSE,"A Bright Spot Analysis of Inland Recreational Fisheries in the Face of Climate Change: Learning about Adaptation from Small Successes"
"ref_024",95357996,"Climate Change Stressors and Social-Ecological Factors Mediating Access to Subsistence Resources in Arctic Alaska",TRUE,"Climate Change Stressors and Social-Ecological Factors Mediating Access to Subsistence Resources in Arctic Alaska"
"ref_025",95357997,"Framework Agreement on Fisheries between the United Kingdom of Great Britain and Northern Ireland and the Kingdom of Norway",FALSE,"Framework Agreement on Fisheries between the United Kingdom of Great Britain and Northern Ireland and the Kingdom of Norway"
"ref_026",95357998,"The Impact of Climate Change Adaptation Strategies on Income and Food Security: Empirical Evidence from Small-Scale Fishers in Indonesia",TRUE,"The Impact of Climate Change Adaptation Strategies on Income and Food Security: Empirical Evidence from Small-Scale Fishers in Indonesia"
"ref_027",95357999,"Moving up or Going under? Differential Livelihood Trajectories in Coastal Communities in Vietnam",TRUE,"Moving up or Going under? Differential Livelihood Trajectories in Coastal Communities in Vietnam"
"ref_028",95358000,"Multilevel Resilience of Fishing Communities of Coastal Bangladesh Against Covid-19 Pandemic and 65-Day Fishing Ban",FALSE,"Multilevel Resilience of Fishing Communities of Coastal Bangladesh Against Covid-19 Pandemic and 65-Day Fishing Ban"
"ref_029",95358001,"Prioritising Well-Being and Resilience to ‘build Back Better’: Insights from a Dominican Small-Scale Fishing Community",TRUE,"Prioritising Well-Being and Resilience to ‘build Back Better’: Insights from a Dominican Small-Scale Fishing Community"
"ref_030",95358002,"Rural Households’ Food Security and Its Determinants in Coastal Regions of Bangladesh",TRUE,"Rural Households’ Food Security and Its Determinants in Coastal Regions of Bangladesh"
"ref_031",95358003,"Vulnerability Assessment Based on Household Views from the Dammar Char in Southeastern Bangladesh",TRUE,"Vulnerability Assessment Based on Household Views from the Dammar Char in Southeastern Bangladesh"
"ref_032",95440301,"Climate change perceptions, impacts and adaptation practices of fishers in southeast Bangladesh coast",TRUE,"Climate change perceptions, impacts and adaptation practices of fishers in southeast Bangladesh coast"
"ref_033",95440302,"Comparing vulnerability and adaptive capacity to climate change in individuals of coastal Dominican Republic",TRUE,"Comparing vulnerability and adaptive capacity to climate change in individuals of coastal Dominican Republic"
"ref_034",95440303,"Climate change and livelihood resilience capacities in the Mekong Delta: a case study on the transition to rice-shrimp farming in Vietnam's Kien Giang Province",TRUE,"Climate change and livelihood resilience capacities in the Mekong Delta: a case study on the transition to rice-shrimp farming in Vietnam's Kien Giang Province"
"ref_035",95440304,"Climate change impacts and adaptation on Philippine coasts",TRUE,"Climate change impacts and adaptation on Philippine coasts"
"ref_036",95440305,"A typology of natural resource use for livelihood impact assessments in Nusa Tenggara Barat Province, Indonesia",FALSE,"A typology of natural resource use for livelihood impact assessments in Nusa Tenggara Barat Province, Indonesia"
"ref_037",95440306,"Adapting to the Inevitable: The Case of Tanbi Wetland National Park, The Gambia",TRUE,"Adapting to the Inevitable: The Case of Tanbi Wetland National Park, The Gambia"
"ref_038",95440307,"Involvement and roles of stakeholders in Mahakam delta management to support mitigation and adaptation effort of climate change in East Kalimantan",FALSE,"Involvement and roles of stakeholders in Mahakam delta management to support mitigation and adaptation effort of climate change in East Kalimantan"
"ref_039",95440308,"Evolving governance structures in community-based sandfish mariculture and their interactions with livelihood outcomes: Evidence from the Philippines",FALSE,"Evolving governance structures in community-based sandfish mariculture and their interactions with livelihood outcomes: Evidence from the Philippines"
"ref_040",95440309,"Adapting livelihoods to the impacts of tin mining in Indonesia: options and constraints",FALSE,"Adapting livelihoods to the impacts of tin mining in Indonesia: options and constraints"
"ref_041",95440310,"Fishing Industry Perspectives on Sea-Level Rise Risk and Adaptation",TRUE,"Fishing Industry Perspectives on Sea-Level Rise Risk and Adaptation"
"ref_042",95440311,"Preliminary assessment for coastal climate adaptation and resilience in Kepetingan Hamlet, Sawohan Village, Sidoarjo Regency",FALSE,"Preliminary assessment for coastal climate adaptation and resilience in Kepetingan Hamlet, Sawohan Village, Sidoarjo Regency"
"ref_043",95440312,"Trends in South Pacific fisheries management",TRUE,"Trends in South Pacific fisheries management"
"ref_044",95440313,"Assessing South Africa's Potential to Address Climate Change Impacts and Adaptation in the Fisheries Sector",TRUE,"Assessing South Africa's Potential to Address Climate Change Impacts and Adaptation in the Fisheries Sector"
"ref_045",95440314,"Current and future socio-ecological vulnerability and adaptation of artisanal fisheries communities in Peru, the case of the Huaura province",FALSE,"Current and future socio-ecological vulnerability and adaptation of artisanal fisheries communities in Peru, the case of the Huaura province"
