"","sysrev_id","analysis_id","adriencomte.pro","deviveytia","title","abstract"
"32",95440302,234342,FALSE,TRUE,"Comparing vulnerability and adaptive capacity to climate change in individuals of coastal Dominican Republic","People's capacity to adapt to shifting and emerging climate conditions is one of the most important characteristics to consider when addressing climate risks. This study explores the vulnerability and adaptive capacity of individuals in various sectors of employment in three coastal communities of the Dominican Republic to changing climate conditions. Participants included individuals who directly use marine resources for their occupation and those who do not. Specific research questions in this study are: What are the factors related to vulnerability and adaptive capacity in coastal communities of the Dominican Republic? Do these factors vary between direct resource users and non-direct resource users? Do these factors vary amongst individuals who do and do not share household responsibility for income? Principal component analysis of responses to 26 likert statements resulted in seven factors related to occupational adaptive capacity. Results suggest that many of these factors are similar across individuals in coastal Dominican Republic. However, direct resource users displayed greater attachment to occupation than non-direct users, indicating perhaps a lower willingness to change. Sole providers of household income exhibited lower financial security than those with shared responsibility, which suggests restricted ability to make changes in livelihood. This research can inform climate change preparedness in coastal communities of the Dominican Republic and beyond regarding the characteristics and circumstances that facilitate or inhibit an individual's occupational adaptation in a changing environment. (C) 2016 Elsevier Ltd. All rights reserved."
"46",95440316,10994,FALSE,TRUE,"Towards Integration of Climate Disaster Risk and Waste Management: A Case Study of Urban and Rural Coastal Communities in the Philippines","Coastal communities are exposed to various environmental risks, including natural hazards such as storm surges and flooding. As climate change has escalated, the management of such dangers has grown in importance and urgency, particularly among states with long coast lines. Climate change adaptation and disaster risk reduction have attracted attention from policymakers in Southeast Asia, which is one of the most disaster-prone regions. Coastal community resilience, however, is not determined by climate and disaster risks alone, but by other factors as well. Waste pollution is an environmental threat that may affect those who are dependent on marine resources. These multiple factors contribute to coastal resilience and are, in fact, addressed separately as different issues; therefore, conflicts or synergies in respective countermeasures often become oversights in the policy-making processes. Through a case study of key Philippine stakeholders, including fishing communities, we identified impacts of climate change, natural hazards, and waste on the livelihoods of community residents and the interplay among these factors. We aim to better understand the situation on the ground and contribute by improving policy recommendations for coastal communities. An integrated approach to enhance coastal adaptation is critical for maximising the effectiveness of the limited resources of communities."
"49",95440319,7967,TRUE,FALSE,"Local practices and production confer resilience to rural Pacific food systems during the COVID-19 pandemic","Resilience of food systems is key to ensuring food security through crisis. The COVID-19 pandemic presents an unprecedented shock that reveals varying levels of resilience of increasingly interconnected food systems across the globe. We contribute to the ongoing debate about whether increased connectivity reduces or enhances resilience in the context of rural Pacific food systems, while examining how communities have adapted to the global shocks associated with the pandemic to ensure food security. We conducted 609 interviews across 199 coastal villages from May to October 2020 in Federated States of Micronesia, Fiji, Palau, Papua New Guinea, Solomon Islands, Tonga, and Tuvalu to understand community-level impacts and adaptations during the first 5-10 months of the COVID-19 crisis. We found that local food production practices and food sharing conferred resilience, and that imported foods could aid or inhibit resilience. Communities in countries more reliant on imports were almost twice as likely to report food insecurity compared to those least reliant. However, in places dealing with a concurrent cyclone, local food systems were impaired, and imported foods proved critical. Our findings suggest that policy in the Pacific should bolster sustainable local food production and practices. Pacific states should avoid becoming overly reliant on food imports, while having measures in place to support food security after disasters, supplementing locally produced and preserved foods with imported foods when necessary. Developing policies that promote resilient food systems can help prepare communities for future shocks, including those anticipated with climate change."
"52",95440322,6105,TRUE,FALSE,"Aquaculture Adaptation to Climate Change in Vietnam's Mekong Delta","Most of the aquaculture production in South-east Asia occurs in the floodplains and coastal areas that are highly exposed and vulnerable to climate change impacts and sea-level rise (SLR). This chapter presents an example of economic estimation of autonomous adaptation by shrimp and catfish farms in the Mekong Delta of Vietnam. It illustrates how planned adaptation measures can help defray catfish farmers' escalating costs of raising pond dykes in response to increased flooding in the delta. It also indicates that government policy and public investment into planned adaptation towards climate change impacts, particularly for water resources management, would necessarily take account of socio-economic development targets of the aquaculture industry. From these analyses, broader implications of plans for water resources management in the delta on the prospects and challenges to the aquaculture sector are discussed. In the long term, a `no-regrets' strategy of reducing the high dependence on shrimp and catfish culture and diversifying into more ecologically oriented production systems can also hedge the aquaculture industry against the increasing risks and uncertainties brought about by climate change."
"64",95440333,233703,FALSE,TRUE,"Challenges for the Development of Resilient Coastal Area Program in Timbulsloko Village Sayung District Demak Regency","Coastal area development in Indonesia has been challenged by such problems as high rate of local poverty, high rate of coastal degradation, and low and minimum infrastructure quality. Such threats have become more apparent due to global warming, causing the elevation of sea level. In order to overcome these problems the Ministry of Marine Affairs and Fisheries has since 2012 launched the Resilient Coastal Village Development Program (PDPT), eventually changed into the Resilient Coastal Area Development (PKPT) by 2014. The program has been implemented in 22 different areas nationwide, including in Sayung District, Demak Regency. One of the locations selected for the program in Sayung was Timbulsloko village. This study aimed to find out challenges of the Resilient Coastal Area Development implementation in Timbulsloko. The study applied a qualitative descriptive method with the locus in Timbulsloko village, and the focus was observing challenges for PKPT implementation. The results obtained from the field observation revealed that the biggest threat on the Resilient Coastal Area Development was the coverage of flooded/inundated area, which caused a significant shift of coastline. This flooded/inundated area needed a special attention. Control and prevention of the flooded area from abrasion needs a co-operation from many stakeholders consisting of local community, government, and private sector."
"79",95440350,5372,FALSE,TRUE,"Adaptation strategies of small-scale fisheries within changing market and regulatory conditions in the EU","This paper presents an analysis of the diversification and non-productivist practices and strategies deployed by European small-scale fishers vis--vis contextual regulatory and market factors. Building on resilience thinking combined with a qualitative case study approach involving primary producers and associated stakeholders the strategies of primary producers in two specific contexts are examined: inshore fisheries in Cornwall (UK) and coastal fisheries in Tuscany (Italy). In so doing, the analysis identifies possible adaptation strategies that can help support the sustainability of the fisheries involved. The strategies adopted by fishers include, for example, investing in innovation, reorganising the supply chain, multifunctionality and diversification, and implementing environmentally friendly activities."
"88",95440360,248131,TRUE,FALSE,"Sustainable coasts? Perceptions of change and livelihood vulnerability in Nordland, Norway","Northern coastal regions are facing multiple challenges from accelerating global environmental and socioeconomic changes, such as ecosystem degradation, climate change, intensified resource extraction, land use change and declining populations. Based on interviews with 13 farmers, fishers and aquaculture employees from coastal Nordland, northern Norway, this study demonstrates how the local stakeholders' perceptions of change and experiences of vulnerability are closely linked to their livelihood values and worldviews. What the informants consider a sustainable and meaningful way of coastal living does not coincide with national goals for sustainable, natural resource dependent development of the region. The article demonstrates the importance of attending to local values if policymakers and managers are to ensure successful local mobilisation, reduce vulnerability to ongoing and future processes of change, and ensure legitimacy and consistency in development goals of coastal zone management. Insights from this study are useful for local and regional decision makers with responsibility for natural resource policies and development efforts."
"90",95440362,10043,TRUE,FALSE,"Sustaining healthy diets in times of change: linking climate hazards, food systems and nutrition security in rural communities of the Fiji Islands","Communities across the Pacific are being challenged by the impacts of climate change. Attaining food and nutrition security goals is also a priority for the region, particularly in relation to improving dietary quality and reducing the incidence of non-communicable diseases. Addressing these challenges requires context-specific research that incorporates a realistic understanding of the links between drivers of change, food systems, and how these influence diets and health. Using a case study approach, this study explores links between climate hazards, food systems, and diets in remote coastal villages of Fiji. Livelihood transitions and climate hazards explain why households have become less reliant on local fisheries and agriculture for their dietary needs. Most households are routinely consuming only locally sourced food items from four food groups, meaning dietary diversity is low. In addition, diets are shifting and now include significant quantities of energy-dense processed (imported) foods with lower nutritional value. The study highlights the importance of increasing availability of fruits and vegetables, mainly through local production, and diversifying sustainable sources of animal protein as strategies to increase diet quality. These communities are already implementing strategies to adapt to climate change, yet this study underscores the need to link climate adaptation with changes to food systems and diets, in ways that allow livelihoods to be sustained and the quality of life of rural dwellers to improve."
"91",95440363,137182,TRUE,FALSE,"Building blocks for social-ecological transformations: identifying and building on governance successes for small-scale fisheries","We introduce building blocks as an approach to assess deliberative transformation pathways in linked systems of people and nature (i.e., small-scale fishery systems). In doing so, we address a knowledge gap about the maintenance and replication of governance processes that support transformative change, with a particular focus on small-scale fisheries that are facing ecological decline. Recent introduction of comanaged territorial use rights for small-scale fishers in the Cau Hai Lagoon, Vietnam has shown promise for alleviating ecological impacts from overfishing and reduced conflicts among fishers. We use this setting to inductively identify building blocks in two case study sites, and highlight the lessons for replicating successes in similar small-scale coastal fisheries. The investigation revealed five building blocks that were instrumental to success in the two case study communities: fisher approval of ecological conservation, cooperation among fishers, support from local government, secure funding, and effective leadership. These findings demonstrate site-level specificity of what governance attributes are already contributing to more durable and transformative change, and how these attributes can be augmented in other communities in the Cau Hai Lagoon. Key lessons for governance of transformations are that (1) building blocks do not need to be identical from case to case, and (2) further consideration needs to be given to how building blocks may nest or fit together. Our research contributes to a relatively new body of literature on deliberative transformations and offers guidance on a way to support and enhance transformations of small-scale fisheries."
"92",95440364,936,TRUE,FALSE,"Impact of Climate Change and Land Use on Groundwater Salinization in Southern Bangladesh-Implications for Other Asian Deltas","Pervasive salinity in soil and water is affecting agricultural yield and the health of millions of delta dwellers in Asia. This is also being exacerbated by climate change through increases in sea level and tropical storm surges. One consequence of this has been a widespread introduction of salt water shrimp farming. Here, we show, using field data and modeling, how changes in climate and land use are likely to result in increased salinization of shallow groundwater in SE Asian mega-deltas. We also explore possible adaptation options. We find that possible future increase of episodic inundation events, combined with salt water shrimp farming, will cause rapid salinization of groundwater in the region making it less suitable for drinking water and irrigation. However, modified land use and water management practices can mitigate the impacts on groundwater, as well as the overlying soil, from future salinization. The study therefore provides guidance for adaptation planning to reduce future salinization in Asian deltas."
