"label","article id","title","adriencomte.pro","deviveytia","matches"
"ref_001",95357973,"Coastal Communities and ITQ Management. The Case of Icelandic Fisheries","false","false","Coastal Communities and ITQ Management. The Case of Icelandic Fisheries"
"ref_002",95357974,"Participatory Management, Popular Knowledge, and Community Empowerment: The Case of Sea Urchin Harvesting in the Vieux-Fort Area of St. Lucia","false","false","Participatory Management, Popular Knowledge, and Community Empowerment: The Case of Sea Urchin Harvesting in the Vieux-Fort Area of St. Lucia"
"ref_003",95357975,"Migration, Remittances, Livelihood Trajectories, and Social Resilience","true","true","Migration, Remittances, Livelihood Trajectories, and Social Resilience"
"ref_004",95357976,"Moderating Our Expectations on Livelihoods in ICM: Experiences from Thailand, Nicaragua, and Tanzania","false","false","Moderating Our Expectations on Livelihoods in ICM: Experiences from Thailand, Nicaragua, and Tanzania"
"ref_005",95357977,"Climate Change Impacts on the Biophysics and Economics of World Fisheries","false","false","Climate Change Impacts on the Biophysics and Economics of World Fisheries"
"ref_006",95357978,"Climate Change and Adaptive Capacity in Fisheries Management: The Case of Norway","true","true","Climate Change and Adaptive Capacity in Fisheries Management: The Case of Norway"
"ref_007",95357979,"Economic Development as Community Resilience Enhancement in Minapolis Coastal Settlement","true","true","Economic Development as Community Resilience Enhancement in Minapolis Coastal Settlement"
"ref_009",95357981,"CLIMATIC ADAPTATION OF COASTAL COMMUNITIES ON THE SOUTHWEST OF TAIWAN","true","true","CLIMATIC ADAPTATION OF COASTAL COMMUNITIES ON THE SOUTHWEST OF TAIWAN"
"ref_010",95357982,"Farmers’ Perceptions of Climate Change, Impacts on Freshwater Aquaculture and Adaptation Strategies in Climatic Change Hotspots: A Case of the Indian Sundarban Delta","true","true","Farmers’ Perceptions of Climate Change, Impacts on Freshwater Aquaculture and Adaptation Strategies in Climatic Change Hotspots: A Case of the Indian Sundarban Delta"
"ref_011",95357983,"Sea-Level Rise and the Marshallese Diaspora","false","false","Sea-Level Rise and the Marshallese Diaspora"
"ref_012",95357984,"Aligning Fisheries Aid with International Development Targets and Goals","true","true","Aligning Fisheries Aid with International Development Targets and Goals"
"ref_013",95357985,"Towards Defining the Blue Economy: Practical Lessons from Pacific Ocean Governance","false","false","Towards Defining the Blue Economy: Practical Lessons from Pacific Ocean Governance"
"ref_014",95357986,"How Do Local Communities Adapt to Climate Changes along Heavily Damaged Coasts? A Stakeholder Delphi Study in Ky Anh (Central Vietnam)","true","true","How Do Local Communities Adapt to Climate Changes along Heavily Damaged Coasts? A Stakeholder Delphi Study in Ky Anh (Central Vietnam)"
"ref_015",95357987,"Impacts and Responses to Environmental Change in Coastal Livelihoods of South-West Bangladesh","true","true","Impacts and Responses to Environmental Change in Coastal Livelihoods of South-West Bangladesh"
"ref_016",95357988,"From Science to Action: Exploring the Potentials of Blue Economy for Enhancing Economic Sustainability in Bangladesh","false","false","From Science to Action: Exploring the Potentials of Blue Economy for Enhancing Economic Sustainability in Bangladesh"
"ref_017",95357989,"Sustainable Entrepreneurship Tourism: An Alternative Development Approach for Remote Coastal Communities Where Awareness of Tourism Is Low","false","false","Sustainable Entrepreneurship Tourism: An Alternative Development Approach for Remote Coastal Communities Where Awareness of Tourism Is Low"
