"","Variable name","Relative influence"
"time_scale","Time scale",50.7817161182964
"continent","Continent",20.4060388875718
"fishery_vulnerability","Fishery vulnerability",15.958664436029
"climatic_impact_driver","Climatic impact driver",5.49962334198844
"spatial_scale","Spatial scale",4.83382855419674
"oro_type","Adaptation option",1.30962363268706
"governance_indicator","Governance indicator",0.813812649687285
"rules_of_law","Rules of law",0.206621171888258
"governance_body","Governance body",0.181355423519865
"procedural_equity","Procedural equity",0.00871578413513617
